cluster_id,region,annual_opex,annual_revenue,payback_base_years,CAPEXC,CAPEXB,CAPEXO
182,Mainland,1878656.0,5964595.52,8.5,39711649.12,34531868.8,31078681.92
183,Mainland,3895424.0,19088318.08,7.3,127088012.48,110511315.2,99460183.68
184,Mainland,3994952.0,20374219.84,7.2,135649411.04,117956009.6,106160408.64
185,Mainland,1822964.0,5245054.88,8.9,34921023.28,30366107.2,27329496.48
186,Mainland,7767032.0,44755293.44,7.0,297976032.64,259109593.6,233198634.24
187,Mainland,4714060.0,29665095.2,6.9,197507081.2,171745288.0,154570759.2
188,Mainland,3714204.0,16746955.68,7.4,111499468.08,96956059.2,87260453.28
189,Mainland,650000.0,0.0,,0.0,0.0,0.0
190,Mainland,3648268.0,15895062.56,7.5,105827653.36,92024046.4,82821641.76
191,Mainland,3573180.0,14924925.6,7.6,99368583.6,86407464.0,77766717.6
192,Mainland,738764.0,1146830.88,16.3,7635479.28,6639547.2,5975592.48
193,Mainland,4715308.0,29681219.36,6.9,197614434.16,171838638.4,154654774.56
194,Mainland,2159279.2,9590247.26,7.5,63850856.78,55522484.16,49970235.74
195,Mainland,6580756.0,42361527.52,6.9,282038591.12,245250948.8,220725853.92
196,Mainland,4087258.04,21566813.91,7.1,143589576.81,124860501.57,112374451.41
197,Mainland,857376.0,2679297.92,8.5,17838483.52,15511724.8,13960552.32
198,Mainland,3958224.61,19899701.94,7.2,132490120.78,115208800.68,103687920.61
199,Mainland,1865968.0,5800666.56,8.5,38620227.36,33582806.4,30224525.76
200,Mainland,6358924.0,39495458.08,6.9,262956602.48,228657915.2,205792123.68
201,Mainland,2086500.0,8649940.0,7.6,57590390.0,50078600.0,45070740.0
202,Mainland,2333558.19,11841931.79,7.2,78842335.33,68558552.46,61702697.22
203,Mainland,2221388.0,10392692.96,7.4,69193455.76,60168222.4,54151400.16
204,Mainland,2106000.0,8901880.0,7.6,59267780.0,51537200.0,46383480.0
205,Mainland,1938924.0,6743258.08,8.1,44895902.48,39039915.2,35135923.68
206,Mainland,4232852.0,23447887.84,7.1,156113569.04,135750929.6,122175836.64
207,Mainland,2096016.0,8772886.72,7.6,58408956.32,50790396.8,45711357.12
208,Mainland,3492949.2,13888343.66,7.7,92467130.18,80406200.16,72365580.14
209,Mainland,650000.0,0.0,,0.0,0.0,0.0
210,Mainland,2312783.62,11573524.32,7.2,77055306.65,67004614.48,60304153.03
211,Mainland,3830372.0,18247846.24,7.3,121492239.44,105645425.6,95080883.04
212,Mainland,2195648.0,10060132.16,7.4,66979300.96,58242870.4,52418583.36
213,Mainland,2007980.0,7635461.6,7.9,50836099.6,44205304.0,39784773.6
214,Mainland,2055768.0,8252882.56,7.7,54946823.36,47779846.4,43001861.76
215,Mainland,1761708.0,4453627.36,9.6,29651782.16,25784158.4,23205742.56
216,Mainland,1946100.0,6835972.0,8.1,45513182.0,39576680.0,35619012.0
217,Mainland,3945864.0,19740002.88,7.2,131426861.28,114284227.2,102855804.48
218,Mainland,7788518.08,45032893.56,7.0,299824265.04,260716752.2,234645076.98
219,Mainland,6657872.0,43357866.24,6.8,288672109.44,251019225.6,225917303.04
220,Mainland,4698668.0,29466230.56,6.9,196183061.36,170593966.4,153534569.76
221,Mainland,1990196.0,7405692.32,7.9,49306319.92,42875060.8,38587554.72
222,Mainland,4319341.61,24565333.65,7.0,163553405.6,142220352.7,127998317.43
223,Mainland,2170428.0,9734289.76,7.5,64809876.56,56356414.4,50720772.96
224,Mainland,1808008.34,5051827.78,9.0,33634537.61,29247424.01,26322681.61
225,Mainland,650000.0,0.0,,0.0,0.0,0.0
