cluster_id,region,annual_opex,payback_base,CAPEXC,CAPEXB,CAPEXO
212,Mainland,1834560.0,0,950515079.8,826534852.0,743881366.8
213,Mainland,1834560.0,0,721424060.5,627325270.0,564592743.0
214,Mainland,1834560.0,0,779760066.8,678052232.0,610247008.8
215,Mainland,1223040.0,0,420793673.3,365907542.0,329316787.8
216,Mainland,1834560.0,0,645885597.5,561639650.0,505475685.0
217,Mainland,3057600.0,0,1865101781.4,1621827636.0,1459644872.4
218,Mainland,3057600.0,0,4254859055.28,3699877439.37,3329889695.44
219,Mainland,3057600.0,0,4096596847.2,3562258128.0,3206032315.2
220,Mainland,3057600.0,0,2784068444.3,2420929082.0,2178836173.8
221,Mainland,1834560.0,0,699714687.1,608447554.0,547602798.6
222,Mainland,3057600.0,0,2321015241.26,2018274122.84,1816446710.55
223,Mainland,1834560.0,0,919728395.3,799763822.0,719787439.8
224,Mainland,1834560.0,0,477313658.78,415055355.46,373549819.91
225,Mainland,611520.0,0,0.0,0.0,0.0
226,Mainland,3057600.0,0,2016432618.2,1753419668.0,1578077701.2
227,Mainland,1834560.0,0,558921148.5,486018390.0,437416551.0
228,Mainland,2446080.0,0,1366801836.4,1188523336.0,1069671002.4
229,Mainland,1223040.0,0,143713512.8,124968272.0,112471444.8
230,Mainland,1834560.0,0,974192261.9,847123706.0,762411335.4
231,Mainland,3057600.0,0,1527083028.9,1327898286.0,1195108457.4
232,Mainland,3057600.0,0,1882177282.7,1636675898.0,1473008308.2
233,Mainland,2446080.0,0,1120064016.5,973968710.0,876571839.0
234,Mainland,3057600.0,0,1675900148.78,1457304477.2,1311574029.48
235,Mainland,1223040.0,0,356323893.02,309846863.5,278862177.15
236,Mainland,3057600.0,0,2038790352.83,1772861176.37,1595575058.73
237,Mainland,3057600.0,0,2113202023.18,1837566976.67,1653810279.01
238,Mainland,1834560.0,0,943430968.48,820374755.2,738337279.68
239,Mainland,1223040.0,0,281688641.52,244946644.8,220451980.32
240,Mainland,3057600.0,0,3915431491.4,3404723036.0,3064250732.4
241,Mainland,3057600.0,0,2366194745.2,2057560648.0,1851804583.2
242,Mainland,1834560.0,0,450628192.3,391850602.0,352665541.8
243,Mainland,1834560.0,0,814672801.8,708411132.0,637570018.8
244,Mainland,1223040.0,0,131843182.9,114646246.0,103181621.4
245,Mainland,611520.0,0,62705811.17,54526792.32,49074113.09
246,Mainland,1834560.0,0,843364722.2,733360628.0,660024565.2
247,Mainland,1834560.0,0,605482600.05,526506608.74,473855947.87
248,Mainland,1223040.0,0,233966106.66,203448788.4,183103909.56
249,Mainland,1223040.0,0,111974662.8,97369272.0,87632344.8
250,Mainland,2446080.0,0,1051508100.5,914354870.0,822919383.0
251,Mainland,3057600.0,0,1714469199.3,1490842782.0,1341758503.8
252,Mainland,3057600.0,0,1705506148.06,1483048824.4,1334743941.96
253,Mainland,3057600.0,0,2401869212.6,2088581924.0,1879723731.6
254,Mainland,2446080.0,0,1290311207.9,1122009746.0,1009808771.4
255,Mainland,3057600.0,0,2313571731.9,2011801506.0,1810621355.4
256,Mainland,1223040.0,0,208333811.4,181159836.0,163043852.4
257,Mainland,1223040.0,0,430543848.02,374385954.8,336947359.32
258,Mainland,2446080.0,0,1294246825.3,1125432022.0,1012888819.8
259,Mainland,1834560.0,0,915983211.0,796507140.0,716856426.0
260,Mainland,3057600.0,0,1500358917.2,1304659928.0,1174193935.2
261,Mainland,2446080.0,0,1138028205.6,989589744.0,890630769.6
262,Mainland,1834560.0,0,649694259.5,564951530.0,508456377.0
263,Mainland,1834560.0,0,481364729.42,418578025.58,376720223.02
264,Mainland,1834560.0,0,686511325.5,596966370.0,537269733.0
265,Mainland,2446080.0,0,1032972612.1,898237054.0,808413348.6
266,Mainland,2446080.0,0,1342489877.3,1167382502.0,1050644251.8
267,Mainland,1834560.0,0,763255864.8,663700752.0,597330676.8
268,Mainland,3057600.0,0,3312774207.6,2880673224.0,2592605901.6
269,Mainland,3057600.0,0,3151731282.7,2740635898.0,2466572308.2
270,Mainland,3057600.0,0,1814192666.0,1577558840.0,1419802956.0
271,Mainland,1834560.0,0,687400013.3,597739142.0,537965227.8
272,Mainland,2446080.0,0,1413013602.0,1228707480.0,1105836732.0
