cluster_id,region,waste_tonnes_week,total_cost,area_km2
114,Mainland,10138.0,24116.408724177556,21356.192245190803
115,Mainland,8582.0,20504.923690922384,23043.271671423725
116,Mainland,27454.0,64043.879737293246,16995.28987379219
117,Mainland,18539.0,52341.03559192441,53743.48207216728
118,Mainland,21792.0,51620.194517949865,23969.786284263082
119,Mainland,25948.0,60823.563087889415,18385.286161800246
120,Mainland,19295.0,54583.247224825995,47314.66618431773
121,Mainland,11786.0,28035.309335500206,22792.390801053847
122,Mainland,1537.1252,5953.535905723022,163826.26442591124
123,Mainland,5039.0,11761.331135940945,1456.6903553493128
124,Mainland,3570.0,10196.628956489363,63952.91158783777
125,Mainland,17494.868199999997,49306.20182735866,44232.77971562879
126,Mainland,47550.0,133025.60981327476,38712.22135404384
127,Mainland,16660.0,39443.57251965591,24374.03849386366
128,Mainland,47992.0,136425.86863234674,67246.71843973304
129,Mainland,15062.0,35467.43104935853,18886.59360418847
130,Mainland,2227.0,14403.921136346133,334084.6787916228
131,Mainland,70663.0,168102.11765858502,32337.20656259496
132,Mainland,10038.0,37083.45303707686,85440.5969435794
133,Mainland,15278.0,42770.00521433269,43053.03330442574
134,Mainland,61542.0,144901.89596554966,21981.230803452618
135,Mainland,17088.5566,47728.90019317752,37968.678532979524
136,Mainland,33029.0,92855.94371772703,43251.12212606558
137,Mainland,28267.86,66875.23682443053,25965.613791013093
138,Mainland,49450.9488,138114.74866266968,37899.673665792725
139,Mainland,14565.0,40563.82124596463,33980.10710177151
140,Mainland,3730.0,13648.0443739037,68986.7190833675
141,Mainland,14055.0,33524.48419015772,22382.18202970893
142,Mainland,5570.0,15817.319241195259,44308.95296177487
143,Mainland,20343.0,57015.58670514064,43216.812175916864
144,Mainland,30127.0,70967.2333341098,19989.32265661789
145,Mainland,18207.0,51330.07660571839,46616.25651461483
146,Mainland,63000.0,232602.99216404537,99113.12557039672
147,Mainland,26391.0,74812.81039789182,59375.90453149288
148,Mainland,5528.179999999999,13118.40637624764,22695.764428915834
149,Mainland,196.0,580.3215492130968,30800.841471110405
150,Mainland,13297.0,48833.51951778052,84623.37373944299
151,Mainland,4428.4728,10870.167476914554,21015.589968107124
152,Mainland,7121.0,19874.017683509155,35063.344653892855
153,Mainland,21105.0,59264.54242784115,38391.587647887834
154,Mainland,18748.0,52608.005747198375,38368.75184583438
155,Mainland,45471.0,169612.7110914108,122343.84414164488
156,Mainland,20860.0,76542.5213201297,84132.65589640434
157,Mainland,73176.01180000001,204671.05697065324,42582.32378677651
158,Mainland,10320.0,39075.301056726625,163399.98632460897
159,Mainland,14279.0,33359.9124813888,16751.816361687725
160,Mainland,2900.0,11187.791630506186,168853.48893555842
161,Mainland,6328.0,23317.79331280267,86700.53742064716
162,Mainland,10594.0,25380.710129793308,28589.104852069657
163,Mainland,20415.0,75045.69223169844,84824.08046097089
164,Mainland,24971.0,69550.0751803649,35138.6279207692
165,Mainland,54881.0,152064.26389538462,35700.199368036294
166,Mainland,10091.0,24182.400772476816,24172.667823540105
167,Mainland,8088.0,19340.357886898368,18168.93201359267
168,Mainland,4076.0,15181.739837855388,74554.99517045675
169,Mainland,6113.0,17516.248281934375,48845.26386729253
170,Mainland,28982.0,68099.41278421941,17483.599730318816
171,Mainland,39712.0,93292.70018050101,17665.1876680576
172,Mainland,9483.0,26886.255040475295,48831.32699260366
173,Mainland,49339.0,136881.78973181802,34555.43288989507
174,Mainland,25229.0,71353.68877188714,46407.01829556891
175,Mainland,3148.0,11920.609374132317,148398.22450617922
176,Mainland,22833.0,82470.85868905633,68955.15027703905
177,Mainland,17480.0,49160.91099607003,37908.271114288385
178,Mainland,2358.0,8884.518913669472,120762.93921261081
179,Mainland,11642.0,32916.453678279955,53324.80613798564
180,Mainland,12818.0,35984.421423348766,42559.16590830976
181,Mainland,26471.0,62918.64039723018,26866.207293398646
182,Mainland,8878.0,21501.827606361512,31939.678592671993
183,Mainland,28412.0,66496.70889059323,14861.285491995686
184,Mainland,30326.0,71255.06461507663,21528.231869713774
185,Mainland,7807.0,29027.669097749313,86133.18407428703
186,Mainland,66616.0,156347.2416846534,19858.207490956294
187,Mainland,44155.0,123938.21446859279,43514.1406774189
188,Mainland,24927.0,59013.28365874009,21958.269894408815
189,Mainland,0.0,0.0,1830.891472169867
190,Mainland,23659.0,55805.27141137478,18005.926384116137
191,Mainland,22215.0,81745.32522161247,94351.70447969332
192,Mainland,1707.0,4305.1219505568015,2159.347094741179
193,Mainland,44179.0,103649.15201490402,17627.01232259661
194,Mainland,14274.6,52410.95425088361,78619.99837175646
195,Mainland,63053.0,176712.54516133823,42119.55898616572
196,Mainland,32101.1162,76489.12654043516,28489.38953224576
197,Mainland,3988.0,11534.235866879317,44922.423371230696
198,Mainland,29619.703999999998,83491.76050952461,50532.61096496833
199,Mainland,8634.0,20548.874171755255,23083.742478471762
200,Mainland,58787.0,165478.59407998284,50599.11098526957
201,Mainland,12875.0,30719.838256888874,22292.392149161125
202,Mainland,17626.119,41983.42144690228,22636.84067680877
203,Mainland,15469.0,57579.183786655834,110265.71754557858
204,Mainland,13250.0,31448.780878637204,17272.19508433555
205,Mainland,10037.0,24127.2882410926,24808.53257643675
206,Mainland,34901.0,83275.0035649121,31241.812316207583
207,Mainland,13058.0,31125.559126572953,28097.371395843133
208,Mainland,20672.1,74513.09163915456,69692.0170828212
209,Mainland,0.0,0.0,18.034312851985167
210,Mainland,17226.608,48784.39016317536,50363.662734603
211,Mainland,27161.0,64468.41863825632,28925.2772400569
212,Mainland,14974.0,35556.40767640939,23156.308538650228
213,Mainland,11365.0,31545.23415952337,34817.969559216355
214,Mainland,12284.0,29313.20660709636,30136.42171220709
215,Mainland,6629.0,18984.221114271815,39353.96862122374
216,Mainland,10175.0,28901.657874666627,61131.53446439005
217,Mainland,29382.0,69057.5831083562,17932.29277674724
218,Mainland,67029.19380000001,190278.73373425938,59763.89833381965
219,Mainland,64536.0,152556.0919096105,25487.270712838057
220,Mainland,43859.0,102918.71524870781,19271.894484564473
221,Mainland,11023.0,26051.58754110193,18578.8591897171
222,Mainland,36564.2618,102804.76079238634,46337.83970737694
223,Mainland,14489.0,34721.06490925245,27239.839521089983
224,Mainland,7519.3912,17741.29437031742,21309.00254554581
225,Mainland,0.0,0.0,184304.04933066992
226,Mainland,31766.0,74771.2199322907,20211.571266912597
227,Mainland,8805.0,21127.069967077117,18157.09372834562
228,Mainland,21532.0,50807.62587899399,23330.083738520847
229,Mainland,2264.0,6519.452899654303,36164.069752776864
230,Mainland,15347.0,36674.186480341814,26944.582560139537
231,Mainland,24057.0,67625.58377682942,40289.79549523606
232,Mainland,29651.0,82851.29548824545,37899.84908668819
233,Mainland,17645.0,41494.58330270894,16552.510778561274
234,Mainland,26401.399999999998,62780.02595326466,25058.29697710043
235,Mainland,5613.3712,21473.664335670488,147438.11812836255
236,Mainland,32118.214,76636.02319585996,31442.639806421455
237,Mainland,33290.463,79460.64318509273,31380.798933547925
238,Mainland,14862.4,34927.26999637958,12952.5512438114
239,Mainland,4437.6,28116.407211382397,241955.19661039553
240,Mainland,61682.0,145016.07031170372,20326.76805275364
241,Mainland,37276.0,87824.2058979886,20791.221676224963
242,Mainland,7099.0,16983.386329116882,30968.263884705044
243,Mainland,12834.0,30711.471894007314,23970.085835838563
244,Mainland,2077.0,13118.583197582386,226294.01469322245
245,Mainland,987.8399999999999,2534.4597364811625,2.9374438414171795
246,Mainland,13286.0,31949.070495206564,30574.556764138753
247,Mainland,9538.5088,27171.968969425332,62829.54401118534
248,Mainland,3685.7999999999997,10587.757949569443,35881.95376133403
249,Mainland,1764.0,4404.418294094357,11361.609096344535
250,Mainland,16565.0,39313.409267314135,22752.84379361444
251,Mainland,27009.0,63947.50446177978,25218.559934547917
252,Mainland,26867.8,62613.35412707871,9533.220941499574
253,Mainland,37838.0,106226.17275120897,41903.65270355217
254,Mainland,20327.0,47360.1907376349,16187.72708466557
255,Mainland,36447.0,102718.2265576324,47477.864227119346
256,Mainland,3282.0,9130.986744200221,32685.432922929227
257,Mainland,6782.599999999999,16132.651013053986,29870.1136701624
258,Mainland,20389.0,57408.64008941874,50496.385035208004
259,Mainland,14430.0,34649.173160431375,26984.237416123906
260,Mainland,23636.0,66208.3278607885,42617.27964822613
261,Mainland,17928.0,41654.23726618396,11491.591591628485
262,Mainland,10235.0,24468.108610166877,28071.755444781043
263,Mainland,7583.21,21383.512498155043,34859.41862176841
264,Mainland,10815.0,25954.772176127182,22684.25683645473
265,Mainland,16273.0,46201.80779073869,51331.33117202415
266,Mainland,21149.0,59816.262779100674,51872.31000395392
267,Mainland,12024.0,28666.755235636323,19584.938852695774
268,Mainland,52188.0,145591.92050119286,36222.22285055364
269,Mainland,49651.0,118021.90734457725,27010.192277197926
270,Mainland,28580.0,67254.12357558738,19852.764699974032
271,Mainland,10829.0,30462.024548683316,35366.18612373473
272,Mainland,22260.0,62026.02251874564,33936.459166293644
