cluster_id,start_year,build_year,CAPEX,annual_profit
247,2062,2062,570367610.0699999,97966581.42358986
172,2062,2062,567048388.7599999,97373822.26789528
158,2062,2062,617097898.56,105902049.7950502
113,2062,2062,603105562.49,103419024.27500321
182,2062,2062,530871622.42,91031297.4944692
132,2062,2063,600235339.6999999,102918767.66207202
66,2063,2063,528898344.26,90686875.00767036
227,2063,2063,526506491.94000006,90251704.571712
199,2063,2063,516281323.27,88409952.47306871
115,2063,2063,513171915.26,87843029.99807203
151,2063,2063,264806323.51,45326028.61120044
104,2063,2063,512996114.13000005,87631630.15061778
24,2063,2063,548690922.21,93669245.34909873
167,2063,2063,483632539.09999996,82496112.3798813
112,2063,2063,531828363.3499999,90565677.92445666
55,2063,2063,477234334.15000004,81151573.83987066
20,2063,2063,460909942.06000006,78372179.39298095
242,2063,2063,424493990.48999995,72173418.5008859
39,2063,2063,234401527.35999998,39839858.774231344
79,2063,2063,259635569.33999997,44110789.759190455
224,2063,2063,449631832.16,76355097.90274349
152,2063,2063,425809509.27000004,72263924.39045753
197,2063,2063,238467676.3,40469947.10492228
257,2063,2063,405574438.63,68754245.5973212
263,2063,2063,453447960.79,76864282.65009594
13,2063,2063,247676307.73999998,41943506.07360709
168,2063,2063,243729751.40999997,41243551.79843152
185,2063,2063,466829776.55999994,78916460.27691703
33,2063,2063,222023691.60000002,37503874.650977
248,2063,2063,220397232.03,37211190.35662238
215,2063,2063,396389725.72999996,66924611.39205785
124,2063,2063,213472819.56,35963946.86426255
140,2063,2063,223040228.84,37535882.17255701
82,2063,2063,533263474.74,89669614.90243055
169,2063,2063,365534830.8,61352652.19933941
239,2063,2063,265352096.37,44529133.265008114
148,2063,2063,330564753.97,55410601.42843512
161,2063,2063,378391037.02000004,63404427.59773426
53,2063,2063,355728236.28999996,59584969.04050511
256,2063,2063,196251482.85999998,32866824.18930158
142,2063,2063,333065435.56,55728032.489457846
90,2063,2063,187640814.50000003,31381952.84795796
51,2063,2063,187102647.73000002,31289612.24334229
25,2063,2063,204622965.98,34200858.30887155
235,2063,2063,335658873.19,55908656.95454515
123,2063,2063,301313596.00999993,50126455.50093108
175,2063,2063,188238777.58,31254958.842545122
30,2063,2063,319431877.34,53033487.83408576
8,2063,2063,164081069.15,27121365.62222154
160,2063,2063,173409293.2,28578381.535213683
75,2063,2063,172452552.27000004,28409925.155501284
229,2063,2063,135378841.31,21859284.689217977
178,2063,2063,140999694.26,22765254.006489187
108,2063,2063,137958729.1,22205009.129654285
23,2063,2063,126947561.87999998,20321532.133064903
27,2063,2063,129219821.59,20654205.56803879
73,2063,2063,117215413.76999998,18636360.401103504
56,2063,2063,136455174.85999998,21648370.158832833
130,2063,2063,133166377.92,21044279.03091
244,2063,2063,124196931.72000001,19469170.73372572
249,2063,2063,105480687.31,16496113.608707096
192,2063,2063,102072297.76,15877337.588571046
50,2063,2063,92744073.71,14088133.840275455
122,2063,2063,91914411.9,13932118.562902404
245,2063,2063,59069184.89,8097266.783702979
34,2063,2063,38568618.66,4387553.467718214
16,2063,2063,33067358.32,3386386.5324823903
4,2063,2063,0.0,-2584140.0
5,2063,2063,0.0,-2584140.0
77,2063,2063,0.0,-2584140.0
149,2063,2063,11720076.37,-468840.7905590809
189,2063,2063,0.0,-2584140.0
209,2063,2063,0.0,-2584140.0
225,2063,2063,0.0,-2584140.0
